PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email(s)
40061806,"A multi-channel CRISPR-based method for rapid, sensitive detection of four diseases of ",2025,Cancan Song,"Beijing Yishi Biotech Co., Ltd., No. 36 Chuangye Middle Road, Haidian District, Beijing 100085, China.",N/A
40060761,Unleashing the potential of mRNA: Overcoming delivery challenges with nanoparticles.,2025,Ku-Geng Huo,Cyagen Biosciences (Guangzhou) Inc. Guangzhou Guangdong China.,N/A
39973465,Asymptomatic and oligosymptomatic states of dysferlinopathy.,2024,Ivan A Yakovlev; Artur A Isaev,"Artgen Biotech PJSC, Moscow, Russia.; Artgen Biotech PJSC, Moscow, Russia.",N/A; N/A
39967209,Cardiovascular Safety in Oncology Clinical Trials: JACC: CardioOncology Primer.,2025,Tijana Krnjeta Janicijevic; R Frank Cornell,"F. Hoffmann - La Roche Ltd., Basel, Switzerland.; AbbVie, Inc, North Chicago, Illinois, USA.",N/A; N/A
39895311,The Tumor-Derived Exosomes Enhanced Bevacizumab across the Blood-Brain Barrier for Antiangiogenesis Therapy against Glioblastoma.,2025,Xiaohu Tang,"State Key Laboratory of Long-Acting and Targeting Drug Delivery System, Shandong Luye Pharmaceutical Co., Ltd, Yantai, Shandong 264003, PR China.",N/A
39861691,Safety and Intranasal Retention of a Broad-Spectrum Anti-SARS-CoV-2 Monoclonal Antibody SA55 Nasal Spray in Healthy Volunteers: A Phase I Clinical Trial.,2024,Xing Meng; Jinxia Chen; Yaling Hu,"Clinical Research and Development Center, Sinovac Biotech Co., Ltd., Beijing 100085, China.; Clinical Research and Development Center, Sinovac Life Sciences Co., Ltd., Beijing 102601, China.; Clinical Research and Development Center, Sinovac Life Sciences Co., Ltd., Beijing 102601, China.",N/A; N/A; N/A
39852789,Intranasal Immunization with DNA Vaccine HA-CCL19/Polyethylenimine/Chitosan Composite Provides Immune Protection Against H7N9 Infection.,2024,Yuqing Xiang; Hongbo Zhang; Youcai An; Ze Chen,"Department of Basic Research, Ab & B Bio-Tech Co., Ltd. JS, Taizhou 225300, China.; Department of Basic Research, Ab & B Bio-Tech Co., Ltd. JS, Taizhou 225300, China.; Department of Basic Research, Ab & B Bio-Tech Co., Ltd. JS, Taizhou 225300, China.; Department of Basic Research, Ab & B Bio-Tech Co., Ltd. JS, Taizhou 225300, China.",N/A; N/A; N/A; N/A
39850659,Structure-based identification of HNF4α agonists: Rosmarinic acid as a promising candidate for NAFLD treatment.,2025,Gang Wu; Xiaobo Wang,"NanjingMinova Pharmaceutical Co., Ltd.Jiangsu Biotech Innovation Park, Nanjing 211166, China.; NanjingMinova Pharmaceutical Co., Ltd.Jiangsu Biotech Innovation Park, Nanjing 211166, China.",N/A; N/A
39845419,"Heterogeneous and higher-order cortical connectivity undergirds efficient, robust, and reliable neural codes.",2025,Daniela Egas Santander; Christoph Pokorny; András Ecker; Michael W Reimann,"Blue Brain Project, École Polytechnique Fédérale de Lausanne (EPFL), Campus Biotech, 1202 6 Geneva, Switzerland.; Blue Brain Project, École Polytechnique Fédérale de Lausanne (EPFL), Campus Biotech, 1202 6 Geneva, Switzerland.; Blue Brain Project, École Polytechnique Fédérale de Lausanne (EPFL), Campus Biotech, 1202 6 Geneva, Switzerland.; Blue Brain Project, École Polytechnique Fédérale de Lausanne (EPFL), Campus Biotech, 1202 6 Geneva, Switzerland.",N/A; N/A; N/A; N/A
39811246,Mechanically robust surface-degradable implant from fiber silk composites demonstrates regenerative potential.,2025,Qi Chen,"Ningbo Regen Biotech Co., Ltd., Ningbo, Zhejiang, 315157, PR China.",N/A
